"Week","Year_Tank","Abundance","scAbundance","Recipient"
8,"2018_Cont1",21,0.68211816247107,"Roti1"
10,"2018_Cont1",193,2.00277606658342,"Roti1"
12,"2018_Cont1",67,1.3667496406543,"Roti1"
14,"2018_Cont1",2,-0.526674404806822,"Roti1"
16,"2018_Cont1",2,-0.526674404806822,"Roti1"
18,"2018_Cont1",6,-0.0126250925360646,"Roti1"
20,"2018_Cont1",8,0.139845502589103,"Roti1"
NA,"2018_Cont1",NA,NA,"Roti1"
2,"2018_Cont2",6,-0.0126250925360646,"Roti1"
4,"2018_Cont2",17,0.560372743512885,"Roti1"
6,"2018_Cont2",284,2.23612884743223,"Roti1"
8,"2018_Cont2",16,0.52569515880674,"Roti1"
10,"2018_Cont2",65,1.34863806986699,"Roti1"
12,"2018_Cont2",5,-0.10614716388304,"Roti1"
14,"2018_Cont2",2,-0.526674404806822,"Roti1"
16,"2018_Cont2",0,-1.19319431220275,"Roti1"
18,"2018_Cont2",6,-0.0126250925360646,"Roti1"
20,"2018_Cont2",3,-0.352139830355184,"Roti1"
NA,"2018_Cont2",NA,NA,"Roti1"
2,"2018_Fipro1",179,1.95733399980306,"Roti1"
4,"2018_Fipro1",19,0.624294185011212,"Roti1"
6,"2018_Fipro1",2,-0.526674404806822,"Roti1"
8,"2018_Fipro1",21,0.68211816247107,"Roti1"
10,"2018_Fipro1",4,-0.216760296836352,"Roti1"
12,"2018_Fipro1",7,0.068387410568598,"Roti1"
14,"2018_Fipro1",0,-1.19319431220275,"Roti1"
16,"2018_Fipro1",1,-0.772667071278966,"Roti1"
18,"2018_Fipro1",5,-0.10614716388304,"Roti1"
20,"2018_Fipro1",5,-0.10614716388304,"Roti1"
NA,"2018_Fipro1",NA,NA,"Roti1"
2,"2018_Fipro2",71,1.40142722536045,"Roti1"
4,"2018_Fipro2",62,1.32041472225579,"Roti1"
6,"2018_Fipro2",26,0.806365409985029,"Roti1"
8,"2018_Fipro2",17,0.560372743512885,"Roti1"
10,"2018_Fipro2",5,-0.10614716388304,"Roti1"
12,"2018_Fipro2",0,-1.19319431220275,"Roti1"
14,"2018_Fipro2",2,-0.526674404806822,"Roti1"
16,"2018_Fipro2",0,-1.19319431220275,"Roti1"
18,"2018_Fipro2",9,0.20376694408743,"Roti1"
20,"2018_Fipro2",7,0.068387410568598,"Roti1"
NA,"2018_Fipro2",NA,NA,"Roti1"
2,"2018_Pent1",97,1.5884713680544,"Roti1"
4,"2018_Pent1",28,0.849719032138418,"Roti1"
6,"2018_Pent1",7,0.068387410568598,"Roti1"
8,"2018_Pent1",15,0.48891465149238,"Roti1"
10,"2018_Pent1",32,0.928110828943213,"Roti1"
12,"2018_Pent1",9,0.20376694408743,"Roti1"
14,"2018_Pent1",0,-1.19319431220275,"Roti1"
16,"2018_Pent1",0,-1.19319431220275,"Roti1"
18,"2018_Pent1",5,-0.10614716388304,"Roti1"
20,"2018_Pent1",6,-0.0126250925360646,"Roti1"
NA,"2018_Pent1",NA,NA,"Roti1"
2,"2018_Pent2",0,-1.19319431220275,"Roti1"
4,"2018_Pent2",14,0.449759610559573,"Roti1"
6,"2018_Pent2",8,0.139845502589103,"Roti1"
8,"2018_Pent2",28,0.849719032138418,"Roti1"
10,"2018_Pent2",63,1.32996913333994,"Roti1"
12,"2018_Pent2",36,0.997522738366304,"Roti1"
